NOME DO ESTABELECIMENTO;LOGRADOURO;NUMERO;BAIRRO;CEP;ENCONTRADO
VIVA MELHOR SUPPLEMENT;R JOÃO MELO - LUZIA;ARACAJU;LUZIA;49045670.0;Não Encontrado
IMPÉRIO PRODUTOS NATURAIS;R ABGAIL FERREIRA ARAÚJO RAMOS;538;LUZIA;49047440.0;Não Encontrado
SHAKE MAJU;AV JORGE AMADO;1589;JARDINS;49025330.0;Encontrado
FISIOAJU;SHOPPING FAROL - AV MURILO DANTAS;881;FAROLÂNDIA;49032490.0;Não Encontrado
FLORA PURA ARACAJU;R FENELON SANTOS;N 606;SALGADO FILHO;49020350.0;Encontrado
CROCODILO SUPLEMENTOS;R MANOEL SANTOS SILVA;7;;49097400.0;Não Encontrado
MERCADITO FIT JORGE AMADO;AV JORGE AMADO;1589;JARDINS;49025330.0;Encontrado
ZECA SUPLEMENTOS;R ROBERTO MORAIS;288;SANTOS DUMONT;49072620.0;Não Encontrado
DONA QUITANDA EMPÓRIO;R DO CARMO;84;SANTO ANTÔNIO;49060080.0;Não Encontrado
ESPAÇO VIDA SAUDÁVEL WELISSON ARAÚJO;R CAMPO DO BRITO;390;13 DE JULHO;49020380.0;Não Encontrado
FARMÁCIA ELEMENTAR ARACAJU SE;AV GONÇALO PRADO ROLEMBERG;404;SALGADO FILHO;49020580.0;Não Encontrado
ÔMEGAS E CIA;R CAPELA - CENTRO;ARACAJU;CENTRO;49010370.0;Não Encontrado
CASA NATURAL;AV QUIRINO;1145;INÁCIO BARBOSA;49040700.0;Não Encontrado
POINT SUPLE;R LARANJEIRAS;1091;GETÚLIO VARGAS;49055380.0;Não Encontrado
TNT SUPLEMENTOS MATRIZ;R LARANJEIRAS;649;CENTRO;49010000.0;Encontrado
LÍDER AMWAY ARACAJU;R GEN. CEROA DA MOTA;210;18 DO FORTE;49072275.0;Não Encontrado
BODYACTION FIT SUPLEMENTOS;AV GOV. PAULO BARRETO DE MENEZES;590;13 DE JULHO;49020010.0;Não Encontrado
MERCADITO FIT BARRA DOS COQUEIROS;ROD. JOSÉ DE CAMPOS;618;;49140000.0;Não Encontrado
SONUTRI LOJA DE SUPLEMENTOS, FITOTERÁPICOS E PRODUTOS NATURAIS;R MAJ. HUNALDO DOS SANTOS - FAROLÂNDIA;ARACAJU;FAROLÂNDIA;49030520.0;Não Encontrado
SHOP SKULL SUPLEMENTOS;R: OSVALDO SAMPAIO - NOVO PARAÍSO;ARACAJU;NOVO PARAÍSO;49082385.0;Não Encontrado
GIFF SUPLEMENTOS;R SÃO FRANCISCO DE ASSIS;696;SANTOS DUMONT;49087000.0;Não Encontrado
SUPLEMENTOS DE ACADEMIA;R SÃO FRANCISCO DE ASSIS;661;SANTOS DUMONT;49087000.0;Não Encontrado
MM SUPLEMENTOS 17SE;AV ARACAJU;391;;49160000.0;Não Encontrado
SLIMCENTER;R ENG. HERNAN CENTURION;760;JARDINS;49025170.0;Não Encontrado
CASA NUTRI SLIM;R PASSOS CABRAL 34 SALA B FUNDO DA IGREJA CATÓLICA SANTA RITA DE CASSIA FICA ENFRENTE A ENTRADA DE MORADORES DO CONDOMÍNIO VIVENDAS DE ARACAJU SIQUEIRA CAMPOS;ARACAJU;;49075260.0;Não Encontrado
FORTIN SUPLEMENTOS NUTRICIONAIS;ENDEREÇO R SESSENTA E UM;12;;49100000.0;Não Encontrado
SUPLE079;R ARNALDO DANTAS;450;SANTO ANTÔNIO;49060040.0;Não Encontrado
SÓ BORA SUPLEMENTOS;R JOSÉ SEVERO DOS SANTOS;274;INDUSTRIAL;49066230.0;Não Encontrado
ALKHEMIAS EMPÓRIO NATURAL;R EDUARDO CRUZ;ARACAJU;INDUSTRIAL;49065330.0;Não Encontrado
